Starting calculations for AP-MoS2/MoS2
      Step     Time          Energy         fmax
BFGS:   31 17:40:16 -1905596.944879        0.0044
BFGS:   32 17:40:50 -1905596.944900        0.0080
BFGS:   33 17:41:21 -1905596.944922        0.0089
BFGS:   34 17:41:53 -1905596.944944        0.0053
BFGS:   35 17:42:25 -1905596.944962        0.0036
BFGS:   36 17:42:57 -1905596.944977        0.0058
BFGS:   37 17:43:28 -1905596.944995        0.0088
BFGS:   38 17:44:01 -1905596.945016        0.0081
BFGS:   39 17:44:33 -1905596.945036        0.0042
BFGS:   40 17:45:05 -1905596.945051        0.0032
BFGS:   41 17:45:37 -1905596.945066        0.0060
BFGS:   42 17:46:09 -1905596.945082        0.0076
BFGS:   43 17:46:42 -1905596.945100        0.0059
BFGS:   44 17:47:13 -1905596.945117        0.0031
BFGS:   45 17:47:47 -1905596.945130        0.0029
BFGS:   46 17:48:20 -1905596.945143        0.0053
BFGS:   47 17:48:51 -1905596.945159        0.0057
BFGS:   48 17:49:23 -1905596.945174        0.0049
BFGS:   49 17:49:55 -1905596.945187        0.0035
BFGS:   50 17:50:26 -1905596.945197        0.0030
BFGS:   51 17:50:58 -1905596.945208        0.0040
BFGS:   52 17:51:30 -1905596.945221        0.0051
BFGS:   53 17:52:01 -1905596.945232        0.0044
BFGS:   54 17:52:34 -1905596.945242        0.0024
BFGS:   55 17:53:05 -1905596.945251        0.0028
BFGS:   56 17:53:37 -1905596.945260        0.0033
BFGS:   57 17:54:09 -1905596.945269        0.0039
BFGS:   58 17:54:41 -1905596.945277        0.0027
BFGS:   59 17:55:13 -1905596.945284        0.0020
BFGS:   60 17:55:44 -1905596.945290        0.0020
BFGS:   61 17:56:16 -1905596.945297        0.0035
BFGS:   62 17:56:49 -1905596.945305        0.0034
BFGS:   63 17:57:21 -1905596.945311        0.0024
BFGS:   64 17:57:52 -1905596.945315        0.0016
BFGS:   65 17:58:23 -1905596.945320        0.0026
BFGS:   66 17:58:55 -1905596.945325        0.0033
BFGS:   67 17:59:27 -1905596.945329        0.0028
BFGS:   68 17:59:58 -1905596.945334        0.0018
BFGS:   69 18:00:29 -1905596.945337        0.0019
BFGS:   70 18:01:02 -1905596.945340        0.0024
BFGS:   71 18:01:33 -1905596.945344        0.0026
BFGS:   72 18:02:05 -1905596.945347        0.0021
BFGS:   73 18:02:36 -1905596.945349        0.0011
BFGS:   74 18:03:09 -1905596.945351        0.0014
BFGS:   75 18:03:41 -1905596.945354        0.0022
BFGS:   76 18:04:13 -1905596.945356        0.0022
BFGS:   77 18:04:44 -1905596.945358        0.0012
BFGS:   78 18:05:16 -1905596.945360        0.0008
36 35 186 73 113
Combined bilayer energy = -1905596.9453597055
Energy cost per unit length : 0.08605397932633586
Prev_energy - Current_energy = 0.0013995457282805213
      Step     Time          Energy         fmax
BFGS:    0 18:05:17 -1905596.945360        0.1213
BFGS:    1 18:05:47 -1905596.946061        0.0792
BFGS:    2 18:06:19 -1905596.946772        0.0293
BFGS:    3 18:06:53 -1905596.946975        0.0300
BFGS:    4 18:07:25 -1905596.947810        0.0421
BFGS:    5 18:07:57 -1905596.948138        0.0301
BFGS:    6 18:08:29 -1905596.948308        0.0142
BFGS:    7 18:09:01 -1905596.948405        0.0127
BFGS:    8 18:09:33 -1905596.948558        0.0209
BFGS:    9 18:10:05 -1905596.948715        0.0226
BFGS:   10 18:10:36 -1905596.948841        0.0123
BFGS:   11 18:11:08 -1905596.948921        0.0105
BFGS:   12 18:11:41 -1905596.948991        0.0104
BFGS:   13 18:12:13 -1905596.949068        0.0145
BFGS:   14 18:12:44 -1905596.949145        0.0145
BFGS:   15 18:13:16 -1905596.949206        0.0104
BFGS:   16 18:13:49 -1905596.949254        0.0085
BFGS:   17 18:14:22 -1905596.949301        0.0095
BFGS:   18 18:14:54 -1905596.949355        0.0127
BFGS:   19 18:15:27 -1905596.949406        0.0134
BFGS:   20 18:15:58 -1905596.949445        0.0084
BFGS:   21 18:16:29 -1905596.949475        0.0059
BFGS:   22 18:17:02 -1905596.949505        0.0062
BFGS:   23 18:17:34 -1905596.949542        0.0110
BFGS:   24 18:18:06 -1905596.949581        0.0107
BFGS:   25 18:18:38 -1905596.949612        0.0060
BFGS:   26 18:19:10 -1905596.949634        0.0041
BFGS:   27 18:19:41 -1905596.949655        0.0057
BFGS:   28 18:20:13 -1905596.949681        0.0079
BFGS:   29 18:20:44 -1905596.949708        0.0072
BFGS:   30 18:21:16 -1905596.949731        0.0046
BFGS:   31 18:21:47 -1905596.949749        0.0038
