Starting calculations for AP-WS2/WS2
      Step     Time          Energy         fmax
BFGS:   42 18:05:19 -2107602.614272        0.0101
BFGS:   43 18:05:52 -2107602.614297        0.0059
BFGS:   44 18:06:24 -2107602.614319        0.0038
BFGS:   45 18:06:57 -2107602.614339        0.0062
BFGS:   46 18:07:31 -2107602.614362        0.0090
BFGS:   47 18:08:04 -2107602.614386        0.0077
BFGS:   48 18:08:36 -2107602.614407        0.0037
BFGS:   49 18:09:09 -2107602.614425        0.0032
BFGS:   50 18:09:41 -2107602.614443        0.0063
BFGS:   51 18:10:12 -2107602.614463        0.0073
BFGS:   52 18:10:44 -2107602.614484        0.0048
BFGS:   53 18:11:17 -2107602.614501        0.0030
BFGS:   54 18:11:50 -2107602.614516        0.0039
BFGS:   55 18:12:22 -2107602.614533        0.0059
BFGS:   56 18:12:55 -2107602.614550        0.0051
BFGS:   57 18:13:26 -2107602.614565        0.0031
BFGS:   58 18:13:58 -2107602.614578        0.0027
BFGS:   59 18:14:28 -2107602.614590        0.0046
BFGS:   60 18:15:00 -2107602.614604        0.0051
BFGS:   61 18:15:31 -2107602.614618        0.0042
BFGS:   62 18:16:03 -2107602.614630        0.0019
BFGS:   63 18:16:37 -2107602.614638        0.0027
BFGS:   64 18:17:11 -2107602.614648        0.0039
BFGS:   65 18:17:44 -2107602.614659        0.0044
BFGS:   66 18:18:18 -2107602.614669        0.0030
BFGS:   67 18:18:51 -2107602.614677        0.0019
BFGS:   68 18:19:25 -2107602.614684        0.0025
BFGS:   69 18:19:58 -2107602.614691        0.0040
BFGS:   70 18:20:29 -2107602.614699        0.0038
BFGS:   71 18:21:04 -2107602.614706        0.0019
BFGS:   72 18:21:36 -2107602.614711        0.0019
BFGS:   73 18:22:07 -2107602.614716        0.0027
BFGS:   74 18:22:38 -2107602.614722        0.0037
BFGS:   75 18:23:11 -2107602.614727        0.0029
BFGS:   76 18:23:45 -2107602.614732        0.0015
BFGS:   77 18:24:17 -2107602.614735        0.0015
BFGS:   78 18:24:50 -2107602.614739        0.0025
BFGS:   79 18:25:24 -2107602.614743        0.0028
BFGS:   80 18:25:56 -2107602.614747        0.0017
BFGS:   81 18:26:29 -2107602.614749        0.0011
BFGS:   82 18:27:00 -2107602.614752        0.0013
BFGS:   83 18:27:34 -2107602.614754        0.0020
BFGS:   84 18:28:06 -2107602.614757        0.0020
BFGS:   85 18:28:39 -2107602.614759        0.0012
BFGS:   86 18:29:11 -2107602.614761        0.0009
36 36 186 74 112
Combined bilayer energy = -2107602.614760956
Energy cost per unit length : 0.08599239772374294
Prev_energy - Current_energy = 0.0006383818037117156
      Step     Time          Energy         fmax
BFGS:    0 18:29:11 -2107602.614761        0.1437
BFGS:    1 18:29:42 -2107602.615753        0.0923
BFGS:    2 18:30:14 -2107602.616757        0.0371
BFGS:    3 18:30:46 -2107602.617086        0.0382
BFGS:    4 18:31:18 -2107602.618310        0.0533
BFGS:    5 18:31:52 -2107602.618818        0.0386
BFGS:    6 18:32:25 -2107602.619077        0.0165
BFGS:    7 18:32:55 -2107602.619221        0.0157
BFGS:    8 18:33:27 -2107602.619445        0.0253
BFGS:    9 18:34:00 -2107602.619678        0.0280
BFGS:   10 18:34:32 -2107602.619865        0.0154
BFGS:   11 18:35:05 -2107602.619985        0.0132
BFGS:   12 18:35:39 -2107602.620092        0.0129
BFGS:   13 18:36:12 -2107602.620209        0.0181
BFGS:   14 18:36:45 -2107602.620319        0.0154
BFGS:   15 18:37:16 -2107602.620401        0.0105
BFGS:   16 18:37:49 -2107602.620469        0.0103
BFGS:   17 18:38:23 -2107602.620545        0.0136
BFGS:   18 18:38:55 -2107602.620629        0.0150
BFGS:   19 18:39:27 -2107602.620700        0.0134
BFGS:   20 18:39:59 -2107602.620749        0.0067
BFGS:   21 18:40:32 -2107602.620791        0.0080
BFGS:   22 18:41:04 -2107602.620840        0.0096
BFGS:   23 18:41:36 -2107602.620899        0.0129
BFGS:   24 18:42:10 -2107602.620950        0.0101
BFGS:   25 18:42:43 -2107602.620987        0.0053
BFGS:   26 18:43:16 -2107602.621018        0.0056
BFGS:   27 18:43:48 -2107602.621053        0.0084
